urn:scte:scte35:2013:xml|see SCTE 35 2013a, 5.10.4 and later and SCTE 214-1||section 6.7.4|XML representation of SCTE 35 message
https://dashif.org/identifiers/vast30|DASH-IF IOP||clause 5.6|Defines signaling for MPD events containing VAST3.0
urn:dvb:iptv:cpm:2014|ETSI TS 103 285||9.1.2.1|Content programme metadata may be delivered in the MPD by using an EventStream or in Media Segments using an InbandEventStream. It provides content identifiers and basic metadata relating to the current programme.
