urn:mpeg:dash:23003:3:audio_channel_configuration:2011|ISO/IEC 23009-1|/identifiers/references#23009-1|section 5.8.5.4|The URI `urn:mpeg:dash:23003:3:audio_channel_configuration:2011` is defined to indicate the channel configuration as defined by Table 68 (Channel Configurations, meaning of channelConfigurationIndex, mapping of channel elements to loudspeaker positions’) of ISO/IEC 23003-3. The @value is the value as defined  by Table 68 (Channel Configurations, meaning of channelConfigurationIndex, mapping of channel elements to loudspeaker positions’) of ISO/IEC 23003-3.
urn:mpeg:mpegB:cicp:ChannelConfiguration|ISO/IEC 23091-3|/identifiers/references#23091-3|clause 6.2|ChannelConfiguration specifies the channel configuration. This defines the number of audio channels and their associated loudspeaker positions according to Table 8. The name, abbreviation, and general position of each loudspeaker can be deduced from Table 7 and Figure 9.
tag:dolby.com,2014:dash:audio_channel_configuration:2011|ETSI TS 102 366|https://www.etsi.org/deliver/etsi_ts/102300_102399/102366/01.04.01_60/ts_102366v010401p.pdf|clause I.1.2|Dolby audio channel configuration information. The @value attribute shall contain a four digit hexadecimal representation of the 16 bit field that describes the channel assignment as defined by table E.5 in ETSI TS 102 366 [14] where left channel is MSB.For example, for a stream with L, C, R, Ls, Rs, LFE, the value shall be “F801” (hexadecimal equivalent of the binary value 1111 1000 0000 0001).
tag:dolby.com,2015:dash:audio_channel_configuration:2015|ETSI TS 103 190-2|https://www.etsi.org/deliver/etsi_ts/103100_103199/10319002/01.02.01_60/ts_10319002v010201p.pdf|clause G.3.1|Dolby audio channel configuration information. The @value attribute shall contain a six digit hexadecimal representation of the 24 bit field as defined by clause G.3.1 in ETSI TS 103 109-2. For example, for a stream with an 3/2/2 (5.1.2) immersive audio channel configuration using loudspeakers L, R, C, Ls, Rs, TL, TR, LFE, the value shall be “0000C7” (hexadecimal equivalent of the binary value 0000 0000 0000 0000 1100 0111).
tag:dts.com,2014:dash:audio_channel_configuration:2012|ETSI TS 102 114|https://www.etsi.org/deliver/etsi_ts/102100_102199/102114/01.06.01_60/ts_102114v010601p.pdf|Annex G|DTS-HD audio channel configuration information. The @value attribute shall be set to the total number of discrete output channels represented in the stream, including LFE channels. The value shall be a whole decimal number in the range of 1 to 32.
tag:dts.com,2018:uhd:audio_channel_configuration|ETSI TS 103 491|https://www.etsi.org/deliver/etsi_ts/103400_103499/103491/01.02.01_60/ts_103491v010201p.pdf|annex D|DTS-UHD audio channel configuration information. The @value attribute shall be a string representing the ChannelMask, presented in hexadecimal form
