http://dashif.org/guidelines/sand/modes/qoe|DASH-IF SAND Interoperability|https://dashif.org/guidelines/#guidelines-for-implementation-dash-if-sand-interoperability|4. Capability Exchange|
http://dashif.org/guidelines/sand/modes/pc|DASH-IF SAND Interoperability|https://dashif.org/guidelines/#guidelines-for-implementation-dash-if-sand-interoperability|4. Capability Exchange|
http://dashif.org/guidelines/sand/modes/na|DASH-IF SAND Interoperability|https://dashif.org/guidelines/#guidelines-for-implementation-dash-if-sand-interoperability|4. Capability Exchange|
urn:3gpp:dash:sand:messageset:qoe:2016|TS 26.247|https://portal.3gpp.org/desktopmodules/Specifications/SpecificationDetails.aspx?specificationId=1444|clauses 13.4, 13.5 and 13.8|
urn:3gpp:dash:sand:messageset:pc:2016|TS 26.247|https://portal.3gpp.org/desktopmodules/Specifications/SpecificationDetails.aspx?specificationId=1444|clauses 13.4, 13.5 and 13.7|
urn:3gpp:dash:sand:messageset:na:2016|TS 26.247|https://portal.3gpp.org/desktopmodules/Specifications/SpecificationDetails.aspx?specificationId=1444|clauses 13.4, 13.5 and 13.6|
urn:mpeg:dash:sand:channel:websocket:2016|ISO/IEC 23009-5|https://www.iso.org/standard/69079.html||
